Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter,MeanLinearSpeed
700,0,0.090288,0.739487,0.731763
701,0,0.096451,0.754242,0.913124
702,0,0.089979,0.750239,0.930222
703,0,0.087350,0.740463,0.769634
704,0,0.069061,0.521426,0.957389
705,0,0.091888,0.798792,0.923072
706,0,0.083784,0.664506,0.632816
707,0,0.090094,0.767908,0.703906
708,0,0.097597,0.820584,1.015267
709,0,0.094187,0.693668,1.024890
710,0,0.090925,0.768828,0.833004
711,0,0.093152,0.766569,0.816836
712,0,0.074531,0.487453,1.025979
713,0,0.079089,0.698662,0.929337
714,0,0.079597,0.631448,0.641661
715,0,0.085338,0.714870,0.620601
716,0,0.086730,0.667458,0.746960
717,0,0.088786,0.731337,0.838553
718,0,0.089176,0.719028,0.685719
719,0,0.082780,0.648718,0.753813
720,0,0.090242,0.713380,0.745046
