Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter
686,0,0.5113621,5.061639
687,0,0.5337481,5.252589
688,0,0.5513291,5.305502
689,0,0.4870181,5.322917
690,0,0.517814,5.433733
691,0,0.5165651,5.06166
692,0,0.4473567,4.635682
693,0,0.5280155,5.571426
694,0,0.5525911,5.926433
695,0,0.5473734,5.237349
696,0,0.5573975,5.409193
697,0,0.5167928,5.493268
698,0,0.5348505,5.149986
699,0,0.4839017,5.076123
700,0,0.5038528,4.856507
701,0,0.5302715,5.33829
702,0,0.535579,5.177015
703,0,0.4465213,4.391641
704,0,0.51895,5.175741
705,0,0.5304694,5.378997
706,0,0.5050011,4.910396
707,0,0.5741844,5.453805
708,0,0.5289841,5.233454
709,0,0.4899787,4.476526
710,0,0.538132,5.243419
711,0,0.5190754,4.642509
712,0,0.5068275,5.175983
713,0,0.5524253,4.961462
714,0,0.4855348,4.996844
715,0,0.5914773,5.863686
716,0,0.5248655,5.280671
717,0,0.5109922,4.883426
718,0,0.5548053,6.098421
719,0,0.5736443,5.810937
720,0,0.5316229,5.033445
721,0,0.51736,5.158719
722,0,0.4989028,4.908584
723,0,0.5277221,5.317722
724,0,0.4894637,4.741814
725,0,0.5376249,5.483616
726,0,0.5077314,5.153935
727,0,0.5629582,5.498387
728,0,0.5440767,5.519837
729,0,0.5179727,5.538071
730,0,0.5352591,5.175589
731,0,0.5273531,5.315835
732,0,0.5336148,5.125142
733,0,0.5199007,5.568161
734,0,0.5328312,5.140253
735,0,0.546613,5.477771
736,0,0.5055243,4.678775
737,0,0.5640443,5.524329
738,0,0.5474983,5.483423
739,0,0,10.2534
740,0,0.5896941,5.59376
741,0,0,14.19829
742,0,0.5060804,5.797549
743,0,0.5298097,5.688703
744,0,0.5128595,5.242067
745,0,0.6044728,6.379073
746,0,0.5027175,5.790589
747,0,0.5002082,4.920605
748,0,0.5234823,5.235832
749,0,0.4804234,4.623676
750,0,0.5523095,5.404715
751,0,0.5093076,5.119337
752,0,0.5719838,5.532024
753,0,0.5704722,6.389019
754,0,0.5511364,5.731496
755,0,0.5488024,5.394383
756,0,0.5363172,5.139304
757,0,0.3535858,4.609329
758,0,0.5087976,5.109001
759,0,0.5101885,5.256672
760,0,0.5390391,5.142682
761,0,0.5128596,5.178226
762,0,0.5264933,5.072924
763,0,0.3711748,6.484458
764,0,0.4748435,4.632684
765,0,0.537522,5.336456
766,0,0.5532518,5.607337
767,0,0.538816,5.572943
768,0,0.5152835,5.530641
769,0,0.5042922,5.236884
770,0,0.480045,4.826675
771,0,0.563915,5.386339
772,0,0.5292752,5.833067
